User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
u1,58,male,professional,android,1.3,6.7,6,8.8,4,42,1,8.7
u2,25,male,professional,android,1.2,1.5,5,6.4,1,51,3,5.1
u3,19,male,student,ios,5.3,5.7,5,9.0,4,14,5,6.3
u4,35,female,business owner,ios,5.8,2.5,2,5.7,3,36,6,12.8
u5,33,male,freelancer,android,7.9,1.3,4,5.7,3,37,5,9.9
u6,32,female,student,android,10.9,4.2,9,6.3,7,34,5,3.6
u7,26,male,student,ios,5.6,6.1,8,6.7,3,5,3,2.9
u8,24,male,freelancer,ios,8.5,1.9,4,7.8,3,6,6,12.8
u9,52,female,business owner,android,9.4,2.5,3,6.4,4,17,3,3.1
u10,23,female,student,ios,2.8,1.1,1,4.5,2,7,0,2.7
u11,55,other,professional,android,8.3,1.1,8,5.7,9,59,1,7.3
u12,45,other,business owner,android,12.0,6.7,6,4.9,10,12,1,9.2
u13,20,female,business owner,ios,11.1,5.6,3,5.0,4,22,6,4.2
u14,19,female,freelancer,ios,9.7,4.1,10,6.0,1,36,6,2.3
u15,23,male,professional,android,1.1,2.5,3,5.3,8,29,5,9.2
u16,31,male,business owner,android,11.6,5.5,9,8.9,5,29,0,7.9
u17,32,other,professional,android,2.3,7.8,8,4.6,1,40,1,3.4
u18,50,female,student,android,10.8,5.7,8,4.5,5,57,0,5.3
u19,56,female,business owner,android,3.3,4.3,2,4.5,1,19,1,5.8
u20,19,other,professional,android,3.9,4.2,1,6.0,5,45,2,11.8
u21,53,other,business owner,android,3.3,2.6,7,8.4,1,54,6,7.5
u22,30,other,professional,ios,9.5,6.9,2,8.4,6,28,2,3.9
u23,59,female,freelancer,android,10.9,4.9,5,8.8,8,31,6,2.7
u24,52,female,student,ios,5.5,5.1,4,8.3,8,40,2,12.5
u25,44,female,business owner,android,3.7,4.2,7,6.7,6,40,5,12.0
u26,32,female,professional,ios,10.1,7.5,8,7.3,10,31,4,6.9
u27,46,male,business owner,ios,1.2,6.5,4,5.7,10,15,3,11.1
u28,55,other,student,ios,9.7,6.1,1,6.3,10,18,2,5.1
u29,35,male,professional,ios,11.7,1.6,1,4.9,10,42,4,4.7
u30,18,other,student,ios,11.4,7.8,3,5.4,7,41,0,8.9
u31,28,other,student,android,2.1,2.3,1,4.3,9,59,1,10.4
u32,45,other,freelancer,android,5.8,3.8,4,5.9,10,25,0,7.9
u33,39,other,professional,android,8.2,2.3,8,7.8,6,41,3,4.1
u34,35,other,freelancer,ios,3.4,2.0,7,7.1,6,21,1,9.8
u35,27,female,student,android,11.8,6.3,5,6.0,1,40,0,13.3
u36,31,male,freelancer,android,7.1,2.0,9,8.4,5,58,0,6.1
u37,39,female,professional,ios,3.8,2.4,9,4.4,2,46,1,5.3
u38,24,male,freelancer,ios,3.9,6.4,6,7.9,5,57,1,5.1
u39,23,other,professional,android,8.3,0.5,2,4.3,5,52,1,3.8
u40,42,male,student,ios,1.8,2.0,2,6.6,10,54,4,7.0
u41,24,male,student,ios,3.4,4.7,2,5.1,2,47,6,12.4
u42,40,female,professional,ios,9.6,6.2,3,4.6,7,46,0,3.6
u43,40,female,student,ios,1.2,0.6,5,7.9,8,6,0,5.1
u44,56,male,professional,android,1.0,7.1,9,7.7,10,23,6,2.1
u45,34,female,professional,ios,1.5,6.4,7,6.6,9,17,2,5.6
u46,20,male,student,ios,9.0,0.9,6,8.7,4,56,5,8.6
u47,47,female,freelancer,ios,5.5,6.9,10,5.1,9,6,6,2.1
u48,52,male,freelancer,ios,5.2,4.9,9,7.1,1,6,4,6.9
u49,25,female,freelancer,ios,10.4,1.5,9,4.3,8,37,5,9.0
u50,42,male,business owner,ios,8.1,4.5,4,5.6,2,26,3,9.8
u51,23,female,student,android,9.7,6.0,1,8.6,4,34,6,10.1
u52,53,female,freelancer,android,6.8,7.2,9,7.5,10,37,2,12.3
u53,36,female,freelancer,ios,4.0,5.0,6,6.9,9,32,3,13.0
u54,58,male,professional,android,6.0,7.3,2,4.5,1,33,4,9.1
u55,57,female,professional,android,11.7,5.9,10,5.8,3,12,5,14.0
u56,41,female,professional,ios,6.3,2.6,1,4.8,4,35,3,8.2
u57,54,male,student,android,3.8,7.8,5,8.9,9,24,6,5.6
u58,30,female,professional,ios,3.5,2.3,8,4.3,1,49,6,12.2
u59,22,female,freelancer,android,2.0,7.9,5,4.9,6,40,5,2.7
u60,20,male,freelancer,android,9.8,6.8,1,8.2,8,43,0,12.2
u61,60,female,freelancer,android,1.4,4.7,6,7.2,8,5,2,6.4
u62,32,male,professional,android,9.7,7.3,2,5.8,5,45,0,10.5
u63,36,female,professional,ios,5.0,3.4,3,7.7,3,45,1,8.2
u64,23,female,freelancer,ios,3.9,7.7,6,5.0,6,24,0,3.7
u65,32,female,freelancer,android,5.7,5.2,8,5.7,2,16,6,2.7
u66,24,female,professional,ios,5.7,1.8,7,5.4,1,31,6,7.6
u67,42,other,professional,android,8.1,4.6,3,8.2,5,13,6,9.6
u68,35,other,professional,android,3.7,4.2,10,5.6,4,58,4,11.3
u69,47,other,student,android,10.2,2.4,4,5.3,10,16,4,5.4
u70,58,other,business owner,ios,7.4,8.0,10,4.7,9,41,5,9.6
u71,41,other,student,android,3.7,0.9,2,7.2,6,55,0,12.4
u72,28,male,student,ios,4.3,7.1,5,6.1,4,9,6,7.1
u73,41,other,freelancer,android,11.5,4.6,6,6.6,7,52,3,11.1
u74,40,female,student,ios,9.1,6.1,6,7.4,10,27,6,10.6
u75,31,other,freelancer,ios,4.5,7.2,1,5.8,7,15,6,11.6
u76,60,other,student,android,10.1,7.5,5,6.8,2,53,5,9.1
u77,35,female,student,android,6.7,3.8,1,5.1,8,45,3,8.0
u78,59,other,business owner,android,10.2,5.5,10,5.0,8,60,5,12.0
u79,22,female,business owner,ios,6.6,3.0,6,7.0,9,36,2,12.8
u80,56,female,professional,ios,1.6,4.7,7,7.6,6,8,4,11.5
u81,58,male,professional,ios,4.7,3.8,10,7.6,5,32,3,11.1
u82,28,other,professional,ios,11.7,3.9,4,4.6,4,6,6,3.0
u83,52,other,business owner,android,11.3,2.8,9,6.4,1,16,1,2.5
u84,33,other,professional,ios,8.6,6.7,1,9.0,3,44,0,13.7
u85,28,male,freelancer,ios,10.8,1.2,5,4.6,4,28,5,13.4
u86,47,male,student,android,2.9,2.1,7,7.5,8,10,4,5.0
u87,42,other,student,ios,9.3,7.1,5,7.9,5,26,6,8.9
u88,35,female,business owner,android,9.4,1.3,7,7.9,4,35,6,2.4
u89,58,other,professional,ios,11.4,4.4,9,6.6,9,30,5,11.9
u90,53,male,freelancer,android,10.3,7.9,10,4.9,10,20,3,11.7
u91,32,female,student,ios,6.4,7.9,9,5.3,6,39,1,4.4
u92,38,other,freelancer,android,10.3,3.3,9,4.7,10,33,1,7.6
u93,21,other,professional,android,1.5,7.3,1,6.9,4,44,3,12.0
u94,32,female,freelancer,android,1.4,2.3,1,5.3,1,11,1,10.5
u95,20,female,professional,ios,3.7,4.3,10,4.1,8,15,2,10.6
u96,38,male,freelancer,ios,3.0,5.0,7,7.5,6,16,6,7.6
u97,43,male,business owner,ios,8.7,2.7,4,6.5,1,25,4,4.7
u98,35,other,business owner,ios,5.5,6.4,3,5.5,6,29,5,8.6
u99,22,male,freelancer,android,10.7,2.9,6,4.5,1,8,6,2.8
u100,31,other,student,ios,9.4,2.8,3,7.6,9,35,3,13.7
u101,54,male,freelancer,android,3.4,8.0,6,5.9,1,28,3,10.7
u102,38,female,freelancer,android,1.3,1.5,6,5.2,2,17,1,11.3
u103,31,male,student,android,4.6,6.4,4,8.2,6,10,0,13.7
u104,59,other,freelancer,android,5.8,6.0,3,4.0,3,6,3,5.3
u105,49,female,business owner,ios,3.8,7.2,4,5.1,9,17,0,13.3
u106,43,female,student,ios,1.3,6.9,3,7.3,5,28,1,9.8
u107,59,other,business owner,ios,9.9,1.9,3,7.3,10,21,6,9.8
u108,47,male,freelancer,ios,7.8,7.9,1,5.0,9,46,1,8.3
u109,27,female,freelancer,ios,11.8,6.5,3,8.7,10,46,3,13.7
u110,34,male,freelancer,android,6.0,6.7,3,6.4,6,5,2,10.6
u111,26,female,business owner,ios,9.1,3.2,4,6.7,9,9,6,3.9
u112,33,other,professional,android,9.4,5.7,7,5.2,1,38,3,11.9
u113,53,female,business owner,ios,10.3,6.8,1,5.3,5,44,5,9.9
u114,52,male,student,ios,5.1,6.0,5,6.2,4,43,0,11.6
u115,34,other,student,android,3.0,6.4,8,8.3,4,8,6,8.9
u116,55,female,business owner,android,8.8,1.1,4,5.3,5,56,0,6.5
